ANO/MES,NÚMERO ÍNDICE
2016/FEV,4750.45
2016/MAR,4771.36
2016/ABR,4801.89
2016/MAI,4848.95
2016/JUN,4871.74
2016/JUL,4902.92
2016/AGO,4918.12
2016/SET,4922.05
2016/OUT,4930.42
2016/NOV,4933.87
2016/DEZ,4940.78
2017/JAN,4961.53
2017/FEV,4973.44
2017/MAR,4989.36
2017/ABR,4993.35
2017/MAI,5011.33
2017/JUN,4996.3
2017/JUL,5004.79
2017/AGO,5003.29
2017/SET,5002.29
2017/OUT,5020.8
2017/NOV,5029.84
2017/DEZ,5042.92
2018/JAN,5054.52
2018/FEV,5063.62
2018/MAR,5067.16
2018/ABR,5077.8
2018/MAI,5099.63
2018/JUN,5172.55
2018/JUL,5185.48
2018/AGO,5185.48
2018/SET,5201.04
2018/OUT,5221.84
2018/NOV,5208.79
2018/DEZ,5216.08
2019/JAN,5234.86
2019/FEV,5263.13
2019/MAR,5303.66
2019/ABR,5335.48
2019/MAI,5343.48
2019/JUN,5344.01
2019/JUL,5349.35
2019/AGO,5355.77
2019/SET,5353.09
2019/OUT,5355.23
2019/NOV,5384.15
2019/DEZ,5449.84
2020/JAN,5460.19
2020/FEV,5469.47
2020/MAR,5479.32
2020/ABR,5466.72
2020/MAI,5453.05
2020/JUN,5469.41
2020/JUL,5493.48
2020/AGO,5513.26
2020/SET,5561.23
2020/OUT,5610.72
2020/NOV,5664.02
2020/DEZ,5746.71
2021/JAN,5762.23
2021/FEV,5809.48
2021/MAR,5859.44
2021/ABR,5881.71
